"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2023","471.30","473.60","474.90","457.10","2.16M","-0.07%"
"04/13/2023","471.65","479.00","495.00","468.35","4.21M","-1.53%"
"04/12/2023","479.00","450.20","486.25","438.50","14.21M","6.23%"
"04/11/2023","450.90","443.00","459.90","442.20","2.28M","2.31%"
"04/10/2023","440.70","436.10","451.50","434.20","2.01M","2.41%"
"04/06/2023","430.35","415.75","434.95","411.90","1.94M","2.67%"
"04/05/2023","419.15","428.00","431.90","413.10","3.12M","-3.13%"
"04/03/2023","432.70","436.45","439.00","431.55","1.58M","-1.90%"
"03/31/2023","441.10","450.20","451.35","436.00","1.53M","-2.35%"
"03/29/2023","451.70","443.80","458.00","443.80","1.16M","0.39%"
"03/28/2023","449.95","459.40","460.95","448.00","3.07M","-2.06%"
"03/27/2023","459.40","463.70","465.75","449.65","1.23M","-0.28%"
"03/24/2023","460.70","466.15","467.55","458.00","2.19M","-1.32%"
"03/23/2023","466.85","468.00","469.35","461.85","1.28M","-0.02%"
"03/22/2023","466.95","465.15","469.50","463.60","1.86M","0.53%"
"03/21/2023","464.50","468.40","470.45","461.65","5.09M","-0.79%"
"03/20/2023","468.20","474.95","474.95","458.60","4.31M","1.77%"
"03/17/2023","460.05","463.10","469.90","458.75","2.89M","-0.94%"
"03/16/2023","464.40","467.00","470.95","457.60","1.79M","-0.92%"
"03/15/2023","468.70","466.15","477.05","463.00","2.16M","0.01%"
"03/14/2023","468.65","465.80","477.80","462.30","3.98M","1.29%"
"03/13/2023","462.70","460.05","468.00","453.60","2.06M","1.08%"
"03/10/2023","457.75","453.20","461.80","450.15","3.71M","1.00%"
"03/09/2023","453.20","437.95","455.40","436.05","2.53M","3.48%"
"03/08/2023","437.95","424.00","439.00","424.00","1.16M","1.66%"
"03/06/2023","430.80","428.00","432.60","426.55","1.03M","1.26%"
"03/03/2023","425.45","429.95","431.50","423.05","618.26K","-0.92%"
"03/02/2023","429.40","433.50","433.75","428.50","709.56K","-0.96%"
"03/01/2023","433.55","428.25","435.00","426.50","1.34M","1.75%"
"02/28/2023","426.10","427.15","434.00","423.10","1.54M","-0.83%"
"02/27/2023","429.65","431.60","431.80","425.30","649.95K","-0.45%"
"02/24/2023","431.60","428.25","433.90","427.15","752.46K","0.78%"
"02/23/2023","428.25","432.25","432.90","426.15","1.03M","-0.70%"
"02/22/2023","431.25","431.15","437.35","429.45","1.08M","-0.45%"
"02/21/2023","433.20","428.00","435.40","428.00","1.02M","1.13%"
"02/20/2023","428.35","436.95","440.20","426.20","410.05K","-1.26%"
"02/17/2023","433.80","430.25","438.75","428.60","1.30M","0.95%"
"02/16/2023","429.70","421.70","433.95","417.15","5.50M","1.45%"
"02/15/2023","423.55","423.00","426.20","421.15","849.52K","0.05%"
"02/14/2023","423.35","428.20","429.95","421.00","1.44M","-1.68%"
"02/13/2023","430.60","437.60","438.75","426.65","1.45M","-1.55%"
"02/10/2023","437.40","440.50","442.85","435.45","778.81K","-0.70%"
"02/09/2023","440.50","439.00","442.10","436.85","527.43K","0.64%"
"02/08/2023","437.70","440.00","443.05","435.70","1.12M","-0.49%"
"02/07/2023","439.85","440.65","442.15","435.10","953.24K","-0.09%"
"02/06/2023","440.25","432.55","442.65","432.55","402.84K","1.09%"
"02/03/2023","435.50","441.00","441.55","425.05","2.67M","-1.24%"
"02/02/2023","440.95","440.00","443.65","434.05","1.51M","-0.06%"
"02/01/2023","441.20","463.60","463.60","430.50","1.61M","-0.11%"
"01/31/2023","441.70","440.05","447.50","434.05","1.61M","0.44%"
"01/30/2023","439.75","452.50","453.50","437.30","1.78M","-3.27%"
"01/27/2023","454.60","438.95","459.80","435.85","2.67M","3.75%"
"01/25/2023","438.15","434.60","440.80","425.05","2.21M","0.82%"
"01/24/2023","434.60","440.00","443.55","432.05","410.81K","-2.11%"
"01/23/2023","443.95","438.00","448.00","426.25","1.54M","1.27%"
"01/20/2023","438.40","446.00","451.10","436.00","1.06M","-1.85%"
"01/19/2023","446.65","450.25","453.00","442.10","1.28M","-1.18%"
"01/18/2023","452.00","455.25","455.85","445.95","1.13M","-0.37%"
"01/17/2023","453.70","455.80","455.80","446.00","1.39M","0.03%"
"01/16/2023","453.55","453.00","459.40","451.40","610.42K","0.12%"
"01/13/2023","453.00","452.60","456.80","447.25","1.19M","0.02%"
"01/12/2023","452.90","450.00","454.00","446.90","942.84K","0.99%"
"01/11/2023","448.45","454.00","459.40","445.25","793.53K","-0.72%"
"01/10/2023","451.70","451.00","462.55","447.80","3.46M","0.12%"
"01/09/2023","451.15","437.50","453.00","434.25","1.90M","4.11%"
"01/06/2023","433.35","440.05","440.40","429.25","1.17M","-1.51%"
"01/05/2023","440.00","446.00","449.35","437.30","1.18M","-1.16%"
"01/04/2023","445.15","445.00","447.95","436.85","687.30K","-0.31%"
"01/03/2023","446.55","451.15","451.15","442.50","396.31K","-0.23%"
"01/02/2023","447.60","441.75","451.25","435.40","613.06K","1.83%"
"12/30/2022","439.55","453.55","456.95","435.35","1.41M","-3.24%"
"12/29/2022","454.25","437.90","460.00","430.05","2.05M","3.71%"
"12/28/2022","438.00","439.50","439.80","433.20","379.34K","0.07%"
"12/27/2022","437.70","446.95","449.65","435.20","652.32K","-1.76%"
"12/26/2022","445.55","435.00","447.20","426.60","923.45K","3.04%"
"12/23/2022","432.40","447.00","447.20","427.30","837.21K","-3.31%"
"12/22/2022","447.20","442.50","450.90","437.05","2.22M","1.74%"
"12/21/2022","439.55","441.45","449.40","435.00","1.78M","0.30%"
"12/20/2022","438.25","423.25","440.00","422.65","2.06M","3.21%"
"12/19/2022","424.60","427.00","432.70","418.60","1.12M","-0.55%"
"12/16/2022","426.95","430.30","436.20","423.35","1.31M","-1.50%"
"12/15/2022","433.45","433.00","439.70","430.25","1.71M","0.37%"
"12/14/2022","431.85","430.20","434.50","428.45","1.16M","0.50%"
"12/13/2022","429.70","433.50","434.95","425.20","2.78M","-0.74%"
"12/12/2022","432.90","431.00","441.20","420.80","1.90M","0.05%"
"12/09/2022","432.70","436.15","439.10","429.50","974.84K","0.02%"
"12/08/2022","432.60","439.95","439.95","429.05","1.40M","-1.31%"
"12/07/2022","438.35","441.60","446.50","436.25","1.82M","-0.08%"
"12/06/2022","438.70","430.00","442.70","430.00","650.97K","0.25%"
"12/05/2022","437.60","451.25","452.15","435.20","1.17M","-2.21%"
"12/02/2022","447.50","452.80","452.80","445.05","806.48K","-1.06%"
"12/01/2022","452.30","450.50","458.00","448.05","2.74M","0.49%"
"11/30/2022","450.10","445.80","454.00","439.20","2.78M","1.63%"
"11/29/2022","442.90","442.25","450.50","441.10","1.99M","0.75%"
"11/28/2022","439.60","432.65","444.80","429.50","1.95M","1.98%"
"11/25/2022","431.05","438.00","451.45","426.15","2.32M","-1.17%"
"11/24/2022","436.15","432.85","443.35","429.10","3.09M","0.76%"
"11/23/2022","432.85","440.30","442.35","429.90","2.68M","-1.48%"
"11/22/2022","439.35","436.90","441.80","430.20","4.57M","1.50%"
"11/21/2022","432.85","428.00","441.70","427.10","5.76M","1.54%"
"11/18/2022","426.30","426.00","429.40","417.40","2.60M","1.96%"
"11/17/2022","418.10","425.90","435.50","410.50","3.71M","-1.58%"
"11/16/2022","424.80","435.40","435.40","412.55","4.73M","-1.93%"
"11/15/2022","433.15","442.00","442.00","431.25","2.36M","-2.14%"
"11/14/2022","442.60","448.30","449.50","440.50","895.08K","-0.56%"
"11/11/2022","445.10","465.00","465.50","441.05","1.03M","-3.19%"
"11/10/2022","459.75","459.90","460.95","453.20","1.10M","0.33%"
"11/09/2022","458.25","465.00","469.00","454.50","2.88M","0.27%"
"11/07/2022","457.00","466.90","467.50","452.00","1.62M","-1.26%"
"11/04/2022","462.85","464.70","467.75","459.00","3.36M","0.17%"
"11/03/2022","462.05","467.10","476.40","453.65","3.42M","-0.58%"
"11/02/2022","464.75","460.10","482.80","458.05","5.96M","1.52%"
"11/01/2022","457.80","457.90","470.00","447.60","3.60M","0.33%"
"10/31/2022","456.30","433.70","460.00","426.85","3.99M","6.03%"
"10/28/2022","430.35","421.25","434.85","421.25","1.46M","2.71%"
"10/27/2022","419.00","416.40","444.00","416.25","4.81M","-1.38%"
"10/25/2022","424.85","413.70","427.50","409.55","1.71M","3.23%"
"10/24/2022","411.55","413.80","414.50","409.05","73.38K","0.13%"
"10/21/2022","411.00","409.00","419.25","406.95","2.14M","-0.63%"
"10/20/2022","413.60","404.50","422.00","389.10","9.78M","2.00%"
"10/19/2022","405.50","420.50","420.50","401.10","1.62M","-0.48%"
"10/18/2022","407.45","424.35","424.35","404.20","1.68M","-2.87%"
"10/17/2022","419.50","427.45","435.00","417.00","1.17M","-1.93%"
"10/14/2022","427.75","430.00","436.80","424.65","986.28K","-0.33%"
"10/13/2022","429.15","420.00","435.90","414.05","3.31M","2.01%"
"10/12/2022","420.70","409.00","421.95","407.50","1.19M","2.42%"
"10/11/2022","410.75","411.00","413.90","408.50","1.39M","0.00%"
"10/10/2022","410.75","407.95","412.80","405.00","549.33K","-1.26%"
"10/07/2022","416.00","428.55","428.55","410.05","1.99M","-2.42%"
"10/06/2022","426.30","416.60","430.30","412.60","4.21M","3.10%"
"10/04/2022","413.50","417.60","421.30","412.05","1.65M","-0.40%"
"10/03/2022","415.15","407.75","424.00","405.10","2.91M","1.78%"
"09/30/2022","407.90","399.75","412.00","389.05","2.77M","1.28%"
"09/29/2022","402.75","407.20","413.00","388.10","2.51M","-0.80%"
"09/28/2022","406.00","410.00","412.20","403.25","1.45M","-1.85%"
"09/27/2022","413.65","419.50","422.35","404.30","1.70M","-1.34%"
"09/26/2022","419.25","418.45","429.60","411.05","3.30M","-1.80%"
"09/23/2022","426.95","429.30","444.95","424.05","6.13M","0.04%"
"09/22/2022","426.80","436.50","441.75","424.90","1.93M","-2.46%"
"09/21/2022","437.55","434.50","440.80","432.05","2.18M","1.36%"
"09/20/2022","431.70","428.95","436.00","426.30","1.05M","1.64%"
"09/19/2022","424.75","421.00","437.50","418.25","1.66M","-2.18%"
"09/16/2022","434.20","442.90","449.10","424.00","4.21M","-1.22%"
"09/15/2022","439.55","424.10","446.45","423.95","4.02M","4.01%"
"09/14/2022","422.60","418.05","426.00","408.85","1.70M","-0.05%"
"09/13/2022","422.80","424.40","425.95","418.35","966.63K","0.13%"
"09/12/2022","422.25","415.00","427.00","413.20","2.80M","2.17%"
"09/09/2022","413.30","382.05","417.15","382.05","9.46M","9.14%"
"09/08/2022","378.70","385.00","386.45","377.50","973.55K","-1.10%"
"09/07/2022","382.90","382.00","384.45","379.20","778.11K","0.14%"
"09/06/2022","382.35","379.00","389.40","379.00","1.52M","0.91%"
"09/05/2022","378.90","381.80","382.80","376.50","1.46M","-0.28%"
"09/02/2022","379.95","381.90","387.45","378.65","1.76M","-0.03%"
"09/01/2022","380.05","376.50","383.70","375.90","1.17M","-2.11%"
"08/30/2022","388.25","385.40","391.35","376.45","2.15M","3.84%"
"08/29/2022","373.90","374.55","379.40","365.75","1.46M","-1.27%"
"08/26/2022","378.70","383.90","386.75","378.05","925.46K","-0.86%"
"08/25/2022","382.00","381.50","385.55","374.10","1.15M","0.59%"
"08/24/2022","379.75","383.90","390.35","377.00","2.69M","-0.68%"
"08/23/2022","382.35","373.00","385.00","373.00","1.67M","1.42%"
"08/22/2022","377.00","379.95","385.80","374.15","3.69M","-0.51%"
"08/19/2022","378.95","385.60","386.70","368.30","9.39M","-1.72%"
"08/18/2022","385.60","387.55","393.75","378.85","3.10M","-0.35%"
"08/17/2022","386.95","402.00","404.70","384.90","3.17M","-2.49%"
"08/16/2022","396.85","355.00","404.80","354.10","27.76M","9.66%"
"08/12/2022","361.90","374.00","374.00","359.05","973.71K","-2.70%"
"08/11/2022","371.95","376.75","380.95","368.15","697.41K","0.04%"
"08/10/2022","371.80","385.25","386.35","370.10","1.32M","-2.57%"
"08/08/2022","381.60","379.80","395.95","378.00","1.46M","1.58%"
"08/05/2022","375.65","380.15","380.90","371.25","653.06K","-0.70%"
"08/04/2022","378.30","373.80","385.00","370.10","956.00K","2.26%"
"08/03/2022","369.95","367.35","370.80","365.05","370.33K","0.71%"
"08/02/2022","367.35","369.00","371.80","362.80","325.72K","-0.61%"
"08/01/2022","369.60","369.65","372.60","367.00","310.48K","-0.01%"
"07/29/2022","369.65","363.25","370.00","360.75","513.53K","1.82%"
"07/28/2022","363.05","362.75","364.45","360.20","273.05K","0.08%"
"07/27/2022","362.75","365.30","365.90","359.25","209.97K","-0.70%"
"07/26/2022","365.30","362.40","366.80","361.65","383.85K","1.02%"
"07/25/2022","361.60","361.90","363.70","356.80","290.05K","1.79%"
"07/22/2022","355.25","366.45","367.15","353.60","552.13K","-2.66%"
"07/21/2022","364.95","366.85","367.95","364.20","236.18K","-0.52%"
"07/20/2022","366.85","373.00","373.00","366.15","269.94K","-0.73%"
"07/19/2022","369.55","365.20","372.00","364.75","508.56K","1.48%"
"07/18/2022","364.15","369.10","375.50","362.50","951.32K","-1.18%"
"07/15/2022","368.50","376.00","377.00","366.15","841.89K","-1.37%"
"07/14/2022","373.60","366.50","374.75","366.50","1.12M","1.45%"
"07/13/2022","368.25","369.70","375.00","366.20","622.98K","0.56%"
"07/12/2022","366.20","365.95","369.80","364.20","852.66K","0.00%"
"07/11/2022","366.20","367.00","369.00","362.20","345.98K","0.62%"
"07/08/2022","363.95","364.85","366.85","363.00","219.56K","-0.25%"
"07/07/2022","364.85","373.80","373.80","364.00","730.33K","-1.29%"
"07/06/2022","369.60","365.15","374.90","362.70","774.70K","0.80%"
"07/05/2022","366.65","368.90","368.90","364.05","527.90K","0.16%"
"07/04/2022","366.05","358.70","370.50","357.10","271.76K","1.85%"
"07/01/2022","359.40","364.60","367.05","357.00","326.67K","-2.06%"
"06/30/2022","366.95","366.20","378.80","364.00","842.97K","-0.47%"
"06/29/2022","368.70","370.00","371.40","363.55","281.91K","-0.50%"
"06/28/2022","370.55","374.00","374.05","365.00","216.28K","-0.88%"
"06/27/2022","373.85","375.00","377.00","368.30","2.18M","0.43%"
"06/24/2022","372.25","374.00","374.00","364.05","308.86K","1.61%"
"06/23/2022","366.35","367.25","371.95","362.10","340.26K","0.58%"
"06/22/2022","364.25","361.60","368.65","358.70","2.41M","0.73%"
"06/21/2022","361.60","362.40","369.00","358.15","539.47K","-0.22%"
"06/20/2022","362.40","358.65","364.50","348.85","560.61K","1.05%"
"06/17/2022","358.65","347.00","361.00","347.00","564.18K","2.03%"
"06/16/2022","351.50","355.00","357.55","347.00","351.92K","-0.35%"
"06/15/2022","352.75","353.50","357.70","350.10","168.99K","-0.20%"
"06/14/2022","353.45","345.05","356.00","345.05","450.17K","0.44%"
"06/13/2022","351.90","356.00","356.25","344.40","496.95K","-1.53%"
"06/10/2022","357.35","355.00","362.35","353.60","394.81K","0.15%"
"06/09/2022","356.80","356.80","360.20","354.60","355.28K","0.00%"
"06/08/2022","356.80","365.90","366.40","355.35","313.63K","-2.85%"
"06/07/2022","367.25","364.00","369.85","354.00","735.13K","0.73%"
"06/06/2022","364.60","372.20","377.00","363.00","265.23K","-2.17%"
"06/03/2022","372.70","388.40","390.00","361.25","419.99K","-3.11%"
"06/02/2022","384.65","371.50","389.20","366.05","643.55K","4.09%"
